,name,lon,lat
0,Vatican City,12.453386544971766,41.903282179960115
1,San Marino,12.441770157800141,43.936095834768004
2,Vaduz,9.516669472907267,47.13372377429357
3,Luxembourg,6.130002806227083,49.611660379121076
4,Palikir,158.1499743237623,6.916643696007725
5,Majuro,171.38000017574655,7.103004311216239
6,Funafuti,179.21664709402887,-8.516651999041073
7,Melekeok,134.62654846699218,7.487396172977981
8,Monaco,7.406913173465057,43.73964568785249
9,Tarawa,173.01757082854942,1.338187505624603
10,Moroni,43.240244098693324,-11.70415769566847
11,Andorra,1.5164859605055199,42.5000014435459
12,Port-of-Spain,-61.51703088544974,10.651997089577264
13,Kigali,30.058585919064114,-1.9516442100632503
14,Mbabane,31.133334512056365,-26.316650778409212
15,Juba,31.580025592787308,4.829975198277964
16,Ljubljana,14.51496903347413,46.0552883087945
17,Bratislava,17.11698075223461,48.15001832996171
18,Doha,51.532967894299304,25.286556008906587
19,Podgorica,19.266306924118226,42.465972512881706
20,Bern,7.466975462482424,46.91668275866772
21,Pristina,21.165984251599866,42.666709614119384
22,Roseau,-61.387012981803366,15.301015644283325
23,Djibouti,43.148001667052256,11.595014464255485
24,Banjul,-16.591701489212596,13.45387646031594
25,Skopje,21.4334614651425,42.00000612290586
26,Bridgetown,-59.61652673505159,13.10200258275114
27,Bujumbura,29.360006061528395,-3.376087220374643
28,Kingstown,-61.212062420279324,13.14827882786841
29,Castries,-61.00000818036955,14.00197348933034
30,Basseterre,-62.71700931969934,17.302030455489387
31,Port Louis,57.49999385460973,-20.166638571353246
32,Saint George's,-61.74164322607476,12.052633401720414
33,Manama,50.58305171591019,26.236136290485945
34,Saint John's,-61.85003381513866,17.118036518314113
35,Montevideo,-56.17299814703597,-34.856095707590725
36,Lome,1.22081126074562,6.133882930268385
37,Tunis,10.179678099212026,36.80277813623144
38,Abu Dhabi,54.36659338259199,24.466683572379907
39,Ashgabat,58.38329911177465,37.949994933110986
40,Lusaka,28.28138173611427,-15.414698409335926
41,Harare,31.042763572062825,-17.815843835777798
42,Dili,125.57945593170507,-8.559388408546454
43,Port Vila,168.31664058356864,-17.733350404025828
44,Tegucigalpa,-87.2194751979415,14.103990759076396
45,Georgetown,-58.167028647480606,6.8019736927520285
46,Reykjavík,-21.950014487179544,64.15002361973922
47,Port-au-Prince,-72.33798044690553,18.54297045473237
48,Kampala,32.581377667121046,0.318604813383331
49,Paramaribo,-55.16703088542437,5.835030129922586
50,Niamey,2.114710186530374,13.51865181050647
51,Dushanbe,68.77387935270173,38.56003521631658
52,Asuncion,-57.643451027901335,-25.294457117057675
53,Managua,-86.27043751890119,12.154962438756115
54,Freetown,-13.236161599012746,8.471957271098177
55,Islamabad,73.16468862105955,33.70194180895959
56,Kathmandu,85.31469635222788,27.718637772477223
57,Bloemfontein,26.22991288117737,-29.119993877378704
58,Pretoria,28.22748321723384,-25.704974695184433
59,Port Moresby,147.19250362059358,-9.464707825867777
60,Honiara,159.94976573360566,-9.437994295089595
61,Panama City,-79.53498301041077,8.969963049094872
62,Rabat,-6.83640815612614,34.02530731107282
63,Chisinau,28.85771113965143,47.005023619670624
64,Maputo,32.58721710397009,-25.953331628778983
65,Mogadishu,45.36473175245874,2.068627192947531
66,Muscat,58.593312132608844,23.613324807728134
67,Colombo,79.85775060925641,6.931965758182116
68,Ulaanbaatar,106.91466990374653,47.91861925856074
69,Wellington,174.78327429127694,-41.29997393927641
70,Windhoek,17.08354610054181,-22.570006084383806
71,Abuja,7.53138214293233,9.085279007754195
72,Bissau,-15.598360841320755,11.865023822980561
73,Amman,35.93135406687412,31.951971105827454
74,Vilnius,25.3166352932829,54.68336631175862
75,Riga,24.099965371403187,56.95002382316096
76,Bishkek,74.58325836390367,42.875025305090105
77,Maseru,27.483273069984477,-29.316674378681626
78,Antananarivo,47.51467804152986,-18.914691492032148
79,Quito,-78.5019969671124,-0.2130423220355624
80,San Jose,-84.08599721127536,9.936958288356607
81,San Salvador,-89.2049870794599,13.711947505494038
82,Kingston,-76.7674337136691,17.977076623830897
83,Ndjamena,15.047202455462298,12.115042394810644
84,Malabo,8.783277545821136,3.750015278026183
85,Asmara,38.933323525759306,15.333339252681924
86,Zagreb,15.999994668245677,45.80000673327254
87,Tallinn,24.72804072947855,59.43387737948592
88,Lilongwe,33.78330195998353,-13.983295065469179
89,Guatemala,-90.52891143656154,14.623080521448173
90,Libreville,9.457965045823698,0.3853886097185182
91,Suva,178.44170731537986,-18.133015931371233
92,Nouakchott,-15.975340414890013,18.086427021247516
93,Bamako,-8.001984963249697,12.65196052632325
94,Beirut,35.507762351377664,33.8739209756269
95,Tbilisi,44.788849590997984,41.72695584707759
96,Astana,71.427774209483,51.18112530425759
97,Vientiane,102.59998002015476,17.96669272762739
98,Brazzaville,15.282743633848668,-4.257239913197509
99,Conakry,-13.682180886123945,9.53346870502179
100,Yamoussoukro,-5.275502564912301,6.8183809600046175
101,Ottawa,-75.70196115980951,45.41864265536043
102,Belgrade,20.466044822020535,44.82059130444674
103,Bandar Seri Begawan,114.93328405666227,4.883331114619239
104,Sucre,-65.25951562667564,-19.04097084673947
105,Belmopan,-88.76707299981655,17.252033507246892
106,Bangui,18.558288125287277,4.366644306349087
107,Yaounde,11.514704896854425,3.868646520754112
108,Tirana,19.81888301461521,41.327540709491586
109,Yerevan,44.51160553175208,40.18309659414189
110,Baku,49.860271303257775,40.39721789134302
111,Phnom Penh,104.91468862118643,11.55197598855841
112,La Paz,-68.15193104910219,-16.49602775504337
113,Cotonou,2.518044740568598,6.401954422782467
114,Sofia,23.314708152110086,42.68529528393054
115,Minsk,27.56468129665825,53.901923295043105
116,Thimphu,89.63901403703,27.472985859175765
117,Gaborone,25.91194779328538,-24.646313457438907
118,Canberra,149.1290262442992,-35.283028545372076
119,Ouagadougou,-1.5266696149164432,12.372261836543373
120,Sarajevo,18.383001666953305,43.850022398954934
121,Naypyidaw,96.11667267063035,19.76850288475015
122,Nukualofa,-175.22056447761656,-21.13851235669864
123,Hargeysa,44.06531001666542,9.56002239881775
124,Victoria,55.44998978559113,-4.6166316539734
125,Sao Tome,6.733325153234773,0.3334021188329075
126,Apia,-171.73864160860316,-13.841545042448445
127,Valletta,14.514710651312782,35.89973248193087
128,Male,73.499947467955,4.1667081898118
129,Jerusalem,35.20662593459866,31.778407815573303
130,Praia,-23.51668888497221,14.916698017328656
131,Nassau,-77.35004378427612,25.08339011535122
132,Nicosia,33.36663488641415,35.166676451654496
133,Hanoi,105.8480683412422,21.035273107737055
134,Ankara,32.862445782356644,39.929184444075474
135,Budapest,19.081374818759684,47.50195218499135
136,Sanaa,44.20464752393843,15.356679154263645
137,Bucharest,26.0980007953504,44.43531766349457
138,Damascus,36.29805003041707,33.50197985420613
139,Lisbon,-9.14681216410213,38.72466873648784
140,Khartoum,32.532233380011576,15.590024084277673
141,Oslo,10.748033347372314,59.91863614500187
142,Warsaw,20.998053692465305,52.25194648839556
143,Pyongyang,125.75274485499392,39.02138455800434
144,Dar es Salaam,39.26639597769457,-6.798066736124383
145,Dublin,-6.250851540391068,53.335006994584944
146,Monrovia,-10.799660436775923,6.314581647160139
147,Kuala Lumpur,101.69803741674644,3.168611730712371
148,Havana,-82.3661280299533,23.1339046995422
149,Prague,14.464033917048539,50.08528287347832
150,Kuwait,47.97635528762527,29.371663488629565
151,Santo Domingo,-69.90203094331503,18.472018713195382
152,Accra,-0.21866159896069348,5.551980464445933
153,Tripoli,13.180011758078194,32.89250001935369
154,Helsinki,24.93218048284558,60.17750923256807
155,København,12.561539888703294,55.68051004902594
156,Abidjan,-4.041994118507091,5.321942826098564
157,Brasilia,-47.91799814700306,-15.781394372878992
158,Brussels,4.33137074969045,50.83526293533032
159,Dhaka,90.40663360810754,23.725005570312817
160,Luanda,13.23248118266855,-8.836340255012658
161,Algiers,3.048606670909237,36.765010656628135
162,Rangoon,96.16473175266185,16.785299963188777
163,Caracas,-66.91898305105042,10.502944413033333
164,Kiev,30.514682110472165,50.43531318760722
165,Tashkent,69.29298696088779,41.31364774160721
166,Madrid,-3.6852975446125242,40.40197212311381
167,Stockholm,18.095388874180912,59.35270581286585
168,Bangkok,100.51469879369489,13.751945064087977
169,Lima,-77.05200795343472,-12.04606681752557
170,Dakar,-17.47507598705056,14.717777583623274
171,Johannesburg,28.028063865019476,-26.16809888138414
172,Amsterdam,4.914694317400972,52.35191454666443
173,Seoul,126.99778513820195,37.56829495838895
174,Manila,120.9802713035424,14.606104813440538
175,Berlin,13.399602764700546,52.523764522251156
176,Kinshasa,15.313026023171744,-4.327778243275986
177,New Delhi,77.19998002005303,28.600023009245433
178,Athens,23.731375225679358,37.98527209055226
179,Baghdad,44.391922914564134,33.34059435615865
180,Addis Ababa,38.69805857534868,9.035256221295754
181,Tehran,51.42239817500899,35.673888627001304
182,Buenos Aires,-58.399477232331435,-34.600555749907414
183,Kabul,69.18131419070505,34.51863614490031
184,Vienna,16.364693096743736,48.20196113681686
185,Taipei,121.568333333333,25.0358333333333
186,"Washington, D.C.",-77.01136443943716,38.901495235087054
187,London,-0.11866770247593195,51.5019405883275
188,Riyadh,46.770795798688255,24.642779007816443
189,Cape Town,18.43304229922603,-33.91806510862875
190,Moscow,37.6135769672714,55.75410998124818
191,Mexico City,-99.1329340602939,19.444388301415472
192,Rome,12.481312562873995,41.89790148509894
193,Beijing,116.38633982565943,39.93083808990906
194,Nairobi,36.81471100047145,-1.2814008832377795
195,Jakarta,106.82749176247012,-6.172471846798885
196,Bogota,-74.08528981377441,4.598369421147822
197,Cairo,31.248022361126118,30.051906205103705
198,Tokyo,139.74946157054467,35.686962764371174
199,Paris,2.33138946713035,48.86863878981461
200,Santiago,-70.66898671317483,-33.448067956934096
201,Singapore,103.85387481909902,1.2949793251059418
